video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OdoECkNgENE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCL7aOpP89MGVXrPu7Pzhhpw,Gaither Music TV,"Ben Speer, Wesley Pritchard, Terry Blackwood - I'm Standing On the Solid Rock [Live]",192K weergaven,11 jaar geleden,"Ben Speer, Wesley Pritchard, Terry Blackwood - Official Video for 'I'm Standing On the Solid Rock [Live]', available now! Buy the ...",2024-01-22 20:09:02.044676
/watch?v=9-EQ7BuhQq4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Tribes across North America converge at Standing Rock, hoping to be heard",118K weergaven,7 jaar geleden,Protestors of the North Dakota pipeline celebrated after the Department of Justice temporarily halted the project in federal ...,2024-01-22 20:09:02.048579
/watch?v=V-T83JD3WMM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@MTVImpact,MTV Impact,"Five Years Later, Standing Rock Continues with New Frontlines | Need To Know","3,4K weergaven",1 jaar geleden,"Could Indigenous tribes get justice from TigerSwan, the private surveillance company hired to infiltrate Standing Rock? And what ...",2024-01-22 20:09:02.054088
/watch?v=swv6hhsgxP0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@globalnews,Global News,New Zealand man performs Haka for Standing Rock Protesters in North Dakota,25K weergaven,7 jaar geleden,A New Zealand man named Kereama Te Ua showed his support for the indigenous people of North Dakota when he performed a ...,2024-01-22 20:09:02.061545
/watch?v=ycupu6z4gEE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,The Stream - Pipeline standoff at Standing Rock,83K weergaven,7 jaar geleden,On The Stream: Native Americans protest a massive oil pipeline in the US state of North Dakota.,2024-01-22 20:09:02.067275
/watch?v=z0vDw7NwOLs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@AssociatedPress,Associated Press,Police Clash With Standing Rock Protestors,"6,9K weergaven",7 jaar geleden,Authorities have defended their use of water hoses against Dakota Access oil pipeline protesters overnight on Sunday during a ...,2024-01-22 20:09:02.074404
/watch?v=Iwroxq7pRSo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UC7s3H9tEelF5-vooCeJj3eQ,cityofthesun,City of the Sun – Standing Rock (Official Audio),50K weergaven,4 jaar geleden,"© 2017 City of the Sun, LLC City of the Sun is John Pita, Avi Snow, & Zach Para. Connect: Instagram: ...",2024-01-22 20:09:02.081042
/watch?v=CYnLOCelzjw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ajplus,AJ+,UW Madison Basketball Star Stands With Standing Rock,"5,8K weergaven",7 jaar geleden,"Bronson Koenig is a basketball player, a hero in the Native American community and an advocate for indigenous issues. On Sept.",2024-01-22 20:09:02.084851
/watch?v=94GcJuxJPgM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@VICE-TV,VICE TV,Standing Strong at Standing Rock: SLIDESHOW with Josué Rivas,9K weergaven,5 jaar geleden,"Josué Rivas talks Standing Strong, his series of powerful photos from Standing Rock in 2016, and how he hopes his images can ...",2024-01-22 20:09:02.087953
/watch?v=lhtkz8PBG7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCSBBlaJJ-tk9zg_1VTh0ndw,Zee Ministries,ZEE - Standing On The Rock (Official Music Video),345K weergaven,3 jaar geleden,ZEE - Standing On The Rock (Official Music Video) Subscribe to this channel: ...,2024-01-22 20:09:02.091120
/watch?v=4YEHc7v4s6s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@flyinglimbsinc.productions4549,"Flying Limbs Inc., Productions",Prayer Run To Standing Rock,"8,5K weergaven",7 jaar geleden,Sacred Hoop Youth Runners from the Pine Ridge Reservation run to Standing Rock in solidarity. Sponsored by The Mitakuye ...,2024-01-22 20:09:02.094225
/watch?v=hkHuL_tgu9E&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UClEMmhYh_L1ZV7Nw6iq-2ng,Blackberry Smoke,Stand With Standing Rock (Waiting for the Thunder),130K weergaven,7 jaar geleden,"Compilation of #NoDAPL footage set to ""Waiting for the Thunder"" by Blackberry Smoke. Find out how you can help by visiting ...",2024-01-22 20:09:02.097031
/watch?v=mW2xb7JC3_M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Montbear6178,Jana Alayra,Standing on the Solid Rock,367K weergaven,6 jaar geleden,Authorized version by Jana Alayra. May this song bless you!,2024-01-22 20:09:02.105086
/watch?v=mDJycaUXf3k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TePuiaNewZealand,"Te Puia - Rotorua, NZ",Te Puia Haka For Standing Rock,31K weergaven,7 jaar geleden,"Nga iwi o Te Arawa performing a Haka in front of the sacred waters of Pohutu Geyser, in support of our Indigenous brothers and ...",2024-01-22 20:09:02.108206
/watch?v=TVN8cCMlxOE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Standing Rock Sioux Tribe Takes Pipeline Fight To U.N. | NBC News,"4,9K weergaven",7 jaar geleden,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-22 20:09:02.111200
/watch?v=zeCnG1HNFJk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,After the Whistle: Mic'd Up with Standing Rock's Hans Bradley,2K weergaven,11 maanden geleden,"After the Whistle: Mic'd Up with Standing Rock's Hans Bradley Stay informed about Western North Dakota news, weather and ...",2024-01-22 20:09:02.118525
/watch?v=_7UkWjPjLVA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@France24_en,FRANCE 24 English,"US - After months of struggle, celebrations erupt among Standing Rock protesters","1,9K weergaven",7 jaar geleden,"A celebration erupted at the main protest camp in Cannon Ball, North Dakota, where the Standing Rock Sioux tribe and others ...",2024-01-22 20:09:02.121563
/watch?v=_rsAyaSdkJc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Veterans Stand Ground With Pipeline Protesters At Standing Rock | NBC News,32K weergaven,7 jaar geleden,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-22 20:09:02.124448
/watch?v=txnG-gcLv6s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@GoodWolfSessions,Good Wolf Sessions,"Trevor Hall ""Standing Rock"" Boston, MA 11.17.16",30K weergaven,7 jaar geleden,Trevor Hall encores with a new song dedicated to the water protectors fighting the black snake up at Standing Rock. Live at The ...,2024-01-22 20:09:09.773794
/watch?v=Yb9HHtye1Tk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@reveal,Reveal,One Year at Standing Rock,44K weergaven,6 jaar geleden,Jasilyn Charger was one of the first people to set up camp at the Standing Rock Sioux Reservation in April 2016. Along with youth ...,2024-01-22 20:09:09.775654
/watch?v=f8TEK5l3k-4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,"Standing Rock Sioux Chairman: Dakota Access Pipeline ""Is Threatening the Lives of My Tribe""",55K weergaven,7 jaar geleden,"http://democracynow.org - In North Dakota, indigenous activists are continuing to protest the proposed $3.8 billion Dakota Access ...",2024-01-22 20:09:09.777531
/watch?v=NExGlhYxreg&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,More Native American Tribes Join Standing Rock Sioux In Pipeline Protest | NBC News,10K weergaven,7 jaar geleden,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-22 20:09:09.779802
/watch?v=qJZ1-LAFOTo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vox,Vox,"The fight over the Dakota Access Pipeline, explained",445K weergaven,7 jaar geleden,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2024-01-22 20:09:09.781190
/watch?v=IprMaqJQtSA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@jspione,jspione,"AWAKE, A Dream from Standing Rock - Documentary - Official Teaser",18K weergaven,6 jaar geleden,"Opening Earth Day 2017 at the Tribeca Film Festival, and everywhere online! A unique collaborative documentary about the most ...",2024-01-22 20:09:09.784222
/watch?v=EyfyqX4raCk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TEDx,TEDx Talks,Standing Rock: The Power of Telling Our Own Story | Josue Rivas | TEDxRapidCity,"8,1K weergaven",6 jaar geleden,L.A.-based photographer and filmmaker Josue Rivas gained national attention for his work covering Standing Rock. In this moving ...,2024-01-22 20:09:09.785908
/watch?v=UltJDHbJEUk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@terrapublishing1404,Terra Publishing,The Standing Rock Portraits van Murray Lemley,399 weergaven,5 jaar geleden,Doorbladerfilmpje van The Standing Rock Portraits. Sioux photographed by Frank Bennett Fiske 1900-1915 van Murray Lemley.,2024-01-22 20:09:09.788105
/watch?v=9PxgcUfY7LE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Report from Standing Rock: 100+ Militarized Police Deployed Against Native American Water Protectors,53K weergaven,7 jaar geleden,"http://democracynow.org - On Saturday, hundreds of people temporarily stopped work at multiple construction sites at the site of ...",2024-01-22 20:09:09.789842
/watch?v=aO1mkv5pgC8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@givepowerfoundation,GivePower Foundation,GivePower: Power for Standing Rock,860 weergaven,4 jaar geleden,Project coming: July 2019.,2024-01-22 20:09:09.791962
